text,intent
How's the weather today?,other
Do you like music?,other
Find me price listings for Laptop Stand,compare_prices
Whats the cheapest Kindle Paperwhite?,get_cheapest
Show me the cheapest deal for Noise Cancelling Headphones,get_cheapest
Where can I buy the cheapest Desk Lamp?,get_cheapest
Who sells Smartphone Case for the least?,get_cheapest
Find me price listings for PlayStation 5,compare_prices
Show price variations for Backpack,compare_prices
Find the lowest price for Noise Cancelling Headphones,get_cheapest
Find the lowest price for Smartphone Case,get_cheapest
Get me the most affordable PlayStation 5,get_cheapest
Open Google.,other
Compare online prices of HP OfficeJet Printer,compare_prices
Compare prices for Tablet,compare_prices
Show me the cheapest deal for Wireless Mouse,get_cheapest
Can you help me with homework?,other
Show me the cheapest deal for AirPods Pro,get_cheapest
What is the capital of France?,other
What's your favorite movie?,other
Tell me a joke.,other
Show me the cheapest deal for AirPods Pro,get_cheapest
Where can I buy the cheapest Apple Watch?,get_cheapest
Show price variations for Ergonomic Chair,compare_prices
What is the capital of France?,other
What is 2 + 2?,other
Compare the cost of Gaming Laptop,compare_prices
Compare the cost of Smartphone Case,compare_prices
Can you help me with homework?,other
Where can I buy the cheapest Coffee Maker?,get_cheapest
Open Google.,other
What is the capital of France?,other
What is the capital of France?,other
Do you like music?,other
Do you dream?,other
How cheap can I get Wireless Mouse?,get_cheapest
Who won the World Cup?,other
Cheapest available Wireless Mouse?,get_cheapest
Who won the World Cup?,other
Show me the cheapest deal for Samsung Galaxy S23,get_cheapest
Do you dream?,other
Search product pricing for AirPods Pro,compare_prices
Can you help me with homework?,other
What is the capital of France?,other
Lowest cost for Apple Watch right now?,get_cheapest
Lowest cost for Bluetooth Speaker right now?,get_cheapest
Who won the World Cup?,other
What is 2 + 2?,other
Can you help me with homework?,other
Find the lowest price for HP OfficeJet Printer,get_cheapest
What is 2 + 2?,other
Show me price comparisons of Xbox Series X,compare_prices
What are the different prices for Canon DSLR Camera?,compare_prices
Cheapest available iPhone 14?,get_cheapest
Show me the cheapest deal for Desk Lamp,get_cheapest
List all prices for Monitor Stand,compare_prices
Can you help me with homework?,other
How does the price of Xbox Series X differ by store?,compare_prices
Best budget deal on AirPods Pro,get_cheapest
Do you like music?,other
Best budget deal on Apple Watch,get_cheapest
Compare online prices of Backpack,compare_prices
Whats the cheapest Monitor Stand?,get_cheapest
Find the lowest price for Noise Cancelling Headphones,get_cheapest
How does the price of Backpack differ by store?,compare_prices
Get me the most affordable iPhone 14,get_cheapest
Find the lowest price for PlayStation 5,get_cheapest
